date,Value,Geography,Occupation,Year of Arrival,Country of Birth
2011,2312,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,The Americas and the Caribbean: Other
2011,3841,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 1991-2000,"Antarctica, Oceania and other"
2011,0,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Europe: United Kingdom
2011,4273,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Europe: Ireland
2011,6242,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Europe: Other Europe: EU countries: Member countries in March 2001: France
2011,4705,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
2011,4244,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
2011,1658,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores)
2011,8498,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001
2011,15512,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland
2011,12413,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries
2011,7601,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Europe: Other Europe: Rest of Europe
2011,2720,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Africa: Nigeria
2011,8196,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Africa: South Africa
2011,9789,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Africa: Other
2011,3438,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Middle East and Asia: China
2011,1902,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Middle East and Asia: Bangladesh
2011,14199,England and Wales (K04000001),"1. Managers, directors and senior officials",Arrived 2001-2011,Middle East and Asia: India
