date,geography,geography code,Value,Age,Occupation,Highest Level of Qualification
2011,East Midlands,E12000004,1155,Age 16 to 24,3. Associate professional and technical occupations,Apprenticeships and other qualifications
2011,West Midlands,E12000005,1508,Age 16 to 24,3. Associate professional and technical occupations,Apprenticeships and other qualifications
2011,East,E12000006,2329,Age 16 to 24,3. Associate professional and technical occupations,Apprenticeships and other qualifications
2011,London,E12000007,2824,Age 16 to 24,3. Associate professional and technical occupations,Apprenticeships and other qualifications
2011,South East,E12000008,2270,Age 16 to 24,3. Associate professional and technical occupations,Apprenticeships and other qualifications
2011,South West,E12000009,1658,Age 16 to 24,3. Associate professional and technical occupations,Apprenticeships and other qualifications
2011,Wales,W92000004,561,Age 16 to 24,3. Associate professional and technical occupations,Apprenticeships and other qualifications
2011,North East,E12000001,305,Age 16 to 24,4. Administrative and secretarial occupations,No qualifications
2011,North West,E12000002,1050,Age 16 to 24,4. Administrative and secretarial occupations,No qualifications
2011,Yorkshire and The Humber,E12000003,738,Age 16 to 24,4. Administrative and secretarial occupations,No qualifications
2011,East Midlands,E12000004,564,Age 16 to 24,4. Administrative and secretarial occupations,No qualifications
2011,West Midlands,E12000005,850,Age 16 to 24,4. Administrative and secretarial occupations,No qualifications
2011,East,E12000006,812,Age 16 to 24,4. Administrative and secretarial occupations,No qualifications
2011,London,E12000007,1314,Age 16 to 24,4. Administrative and secretarial occupations,No qualifications
2011,South East,E12000008,1043,Age 16 to 24,4. Administrative and secretarial occupations,No qualifications
2011,South West,E12000009,479,Age 16 to 24,4. Administrative and secretarial occupations,No qualifications
2011,Wales,W92000004,388,Age 16 to 24,4. Administrative and secretarial occupations,No qualifications
2011,North East,E12000001,1769,Age 16 to 24,4. Administrative and secretarial occupations,Level 1 qualifications
2011,North West,E12000002,5550,Age 16 to 24,4. Administrative and secretarial occupations,Level 1 qualifications
2011,Yorkshire and The Humber,E12000003,3685,Age 16 to 24,4. Administrative and secretarial occupations,Level 1 qualifications
2011,East Midlands,E12000004,3170,Age 16 to 24,4. Administrative and secretarial occupations,Level 1 qualifications
2011,West Midlands,E12000005,3993,Age 16 to 24,4. Administrative and secretarial occupations,Level 1 qualifications
2011,East,E12000006,5243,Age 16 to 24,4. Administrative and secretarial occupations,Level 1 qualifications
2011,London,E12000007,6120,Age 16 to 24,4. Administrative and secretarial occupations,Level 1 qualifications
2011,South East,E12000008,6554,Age 16 to 24,4. Administrative and secretarial occupations,Level 1 qualifications
2011,South West,E12000009,3302,Age 16 to 24,4. Administrative and secretarial occupations,Level 1 qualifications
2011,Wales,W92000004,2065,Age 16 to 24,4. Administrative and secretarial occupations,Level 1 qualifications
2011,North East,E12000001,4089,Age 16 to 24,4. Administrative and secretarial occupations,Level 2 qualifications
2011,North West,E12000002,12217,Age 16 to 24,4. Administrative and secretarial occupations,Level 2 qualifications
2011,Yorkshire and The Humber,E12000003,8300,Age 16 to 24,4. Administrative and secretarial occupations,Level 2 qualifications
2011,East Midlands,E12000004,6806,Age 16 to 24,4. Administrative and secretarial occupations,Level 2 qualifications
2011,West Midlands,E12000005,8548,Age 16 to 24,4. Administrative and secretarial occupations,Level 2 qualifications
2011,East,E12000006,10920,Age 16 to 24,4. Administrative and secretarial occupations,Level 2 qualifications
2011,London,E12000007,11179,Age 16 to 24,4. Administrative and secretarial occupations,Level 2 qualifications
2011,South East,E12000008,13218,Age 16 to 24,4. Administrative and secretarial occupations,Level 2 qualifications
2011,South West,E12000009,7505,Age 16 to 24,4. Administrative and secretarial occupations,Level 2 qualifications
2011,Wales,W92000004,4705,Age 16 to 24,4. Administrative and secretarial occupations,Level 2 qualifications
2011,North East,E12000001,4983,Age 16 to 24,4. Administrative and secretarial occupations,Level 3 qualifications
2011,North West,E12000002,13330,Age 16 to 24,4. Administrative and secretarial occupations,Level 3 qualifications
